Customer ID,Customer Name,Phone Number,Gender,Age,Customer Region,Customer Type,Product ID,Product Name,Brand,Product Category,Tags,Quantity,Price per Unit,Discount Percentage,Total Amount,Final Amount,Date,Payment Method,Order Status,Delivery Type,Store ID,Store Location,Salesperson ID,Employee Name
CUST000001,Chris Wilson,9584222341,Female,58,East,Regular,PROD000001,Electronics Product,Brand4,Electronics,Electronics,9,2967,22,26703,20828.34,2024-08-12,Cash,Completed,Home Delivery,STORE8,East,EMP020,Lisa Anderson
CUST000002,John Doe,9231413739,Male,32,Central,Regular,PROD000002,Home Product,Brand1,Home,Home,5,758,0,3790,3790.00,2024-07-23,UPI,Cancelled,Store Pickup,STORE5,Central,EMP084,Chris Wilson
CUST000003,Mike Johnson,9581661249,Male,33,East,Regular,PROD000003,Home Product,Brand3,Home,Home,9,5277,18,47493,38944.26,2024-12-06,Credit Card,Pending,Home Delivery,STORE3,East,EMP086,David Brown
CUST000004,Jane Smith,9543476816,Female,60,East,Regular,PROD000004,Sports Product,Brand5,Sports,Sports,2,3462,12,6924,6093.12,2024-11-21,UPI,Pending,Store Pickup,STORE10,East,EMP047,Emily Davis
CUST000005,Lisa Anderson,9514576499,Female,64,Central,Regular,PROD000005,Beauty Product,Brand3,Beauty,Beauty,10,4866,26,48660,36008.40,2024-08-22,Cash,Cancelled,Store Pickup,STORE9,Central,EMP009,Mike Johnson
CUST000006,Sarah Williams,9893287843,Male,42,West,Regular,PROD000006,Electronics Product,Brand4,Electronics,Electronics,9,2136,3,19224,18647.28,2024-07-20,UPI,Pending,Store Pickup,STORE10,West,EMP077,Jane Smith
CUST000007,Mike Johnson,9807532480,Female,64,North,Premium,PROD000007,Electronics Product,Brand1,Electronics,Electronics,2,1783,20,3566,2852.80,2024-09-11,Credit Card,Completed,Home Delivery,STORE6,North,EMP042,Mike Johnson
CUST000008,Emily Davis,9886638612,Male,41,South,Premium,PROD000008,Clothing Product,Brand3,Clothing,Clothing,4,4976,9,19904,18112.64,2024-12-13,Debit Card,Completed,Home Delivery,STORE5,South,EMP082,David Brown
CUST000009,Sarah Williams,9427193135,Female,69,South,Premium,PROD000009,Electronics Product,Brand1,Electronics,Electronics,5,1653,2,8265,8099.70,2024-10-18,Debit Card,Pending,Home Delivery,STORE8,South,EMP012,Jane Smith
CUST000010,Mike Johnson,9477078020,Female,43,West,Regular,PROD000010,Home Product,Brand1,Home,Home,4,4340,7,17360,16144.80,2024-10-28,Credit Card,Pending,Store Pickup,STORE9,West,EMP093,Lisa Anderson
